,Loc,Max Growth Rate,Max OD
0,B2,0.2932494093412811,0.8867999911308289
1,B3,0.3030965716508797,0.885200023651123
2,B4,0.22141779690266203,0.8848000168800354
3,B5,0.30503154903518576,0.8841999769210815
4,B6,0.25675504637884905,0.8978999853134155
5,B7,0.25034237790732555,0.8830000162124634
6,B8,0.29914719741438545,0.9538000226020813
7,B9,0.2701716601522997,0.9545999765396118
8,B10,0.33700240223026673,0.9700000286102295
9,B11,0.004223606669553745,0.0471000000834465
10,C2,0.2517595144219544,0.8848999738693237
11,C3,0.25060851910061827,0.8568000197410583
12,C4,0.22818028177408683,0.8833000063896179
13,C5,0.3422932983639078,1.0061999559402466
14,C6,0.31661127817051476,0.9613000154495239
15,C7,0.3478974804560804,0.9624999761581421
16,C8,0.22593013319268648,0.4853000044822693
17,C9,0.22382380757544657,0.49160000681877136
18,C10,0.22135683077250815,0.866599977016449
19,C11,0.003990605547541528,0.04729999974370003
20,D2,0.0032152860075180104,0.05900000035762787
21,D3,0.0027494912923300553,0.05939999967813492
22,D4,0.0037896129365079705,0.059700001031160355
23,D5,0.004387618255512046,0.04699999839067459
24,D6,0.0039263490274169715,0.04740000143647194
25,D7,0.005762679158066594,0.047200001776218414
26,D8,0.002987078333406818,0.05939999967813492
27,D9,0.0029865719082189353,0.058400001376867294
28,D10,0.003690723433220992,0.06030000001192093
29,D11,0.004527571874287606,0.04670000076293945
30,E2,0.26654797190815216,0.9280999898910522
31,E3,0.2647485817877224,0.909600019454956
32,E4,0.2444711736747545,0.906499981880188
33,E5,0.28785642321002586,0.9175000190734863
34,E6,0.2530187605620464,0.9190000295639038
35,E7,0.26068463101767164,0.9193999767303467
36,E8,0.3589145073654101,1.0089000463485718
37,E9,0.3554752779433946,0.9983000159263611
38,E10,0.3506748483203046,1.011199951171875
39,E11,0.005803198243498373,0.04729999974370003
40,F2,0.2388193643124044,0.8684999942779541
41,F3,0.23530187458014934,0.90829998254776
42,F4,0.2545355014654406,0.8973000049591064
43,F5,0.33154418108924416,0.9907000064849854
44,F6,0.3442469717332049,0.9815000295639038
45,F7,0.31960083894102137,0.9718000292778015
46,F8,0.2583374993384112,0.5019999742507935
47,F9,0.2442980215662406,0.5116000175476074
48,F10,0.23945471848438452,0.49939998984336853
49,F11,0.004111438844851784,0.04749999940395355
