,Loc,Max Growth Rate,Max OD
0,B2,0.3359632995647873,0.7465000152587891
1,B3,0.34836615883193656,0.7570000290870667
2,B4,0.34150731088639996,0.7451000213623047
3,B5,0.3893651103761662,0.7159000039100647
4,B6,0.3819671423567036,0.7468000054359436
5,B7,0.43478446904005696,0.714900016784668
6,B8,0.3884183130155212,0.7416999936103821
7,B9,0.4630315208180768,0.7127000093460083
8,B10,0.4385997316061512,0.7398999929428101
9,C2,0.2779150370134389,0.41449999809265137
10,C3,0.27048569704394704,0.40130001306533813
11,C4,0.24853685063451378,0.4205000102519989
12,C5,0.252696543068238,0.42419999837875366
13,C6,0.27032078445522134,0.42640000581741333
14,C7,0.2768123558807745,0.4203999936580658
15,C8,0.004546261971588827,0.05790000036358833
16,C9,0.003951690604498516,0.05790000036358833
17,C10,0.005262095793974372,0.05829999968409538
18,E2,0.280042756929558,0.817799985408783
19,E3,0.2979505397371298,0.8136000037193298
20,E4,0.2820160388838914,0.8162999749183655
21,E5,0.27548119503740975,0.7728999853134155
22,E6,0.25579940358014164,0.7817999720573425
23,E7,0.26749664690862934,0.7820000052452087
24,E8,0.28391737777014436,0.805899977684021
25,E9,0.27116443100493054,0.8123999834060669
26,E10,0.27479962632002486,0.8141000270843506
27,F2,0.2902903046115537,0.4377000033855438
28,F3,0.2578324470037338,0.45579999685287476
29,F4,0.26100227742755944,0.475600004196167
30,F5,0.2636081569445586,0.4763999879360199
31,F6,0.27937317635148656,0.4657000005245209
32,F7,0.2740307989548918,0.4724999964237213
33,F8,0.003507356354658075,0.05979999899864197
34,F9,0.003041243944660999,0.05999999865889549
35,F10,0.0033169109581607007,0.05950000137090683
